Review_Date,Author_Name,Vehicle_Title,Review_Title,Review,Rating
 on 11/15/12 08:18 AM (PST),zones9 ,2011 Dodge Avenger Sedan Mainstreet 4dr Sedan (2.4L 4cyl 6A),1 1/2 years later I still love it," I have owned many dodge vehicles in my life time but this has to be the best for the dollar.I purchased mine in March of '11 the mainstreet heat series. I was at the dealership getting my Jeep serviced (vehicle that I HATED) when I saw the truck pull in with my Avenger on it...BlackBerry Pearl..she was pretty. Took a different color out for a test drive because that one wasn't even in the system yet and was super impressed!!!I went back after thinking about it and got the one I wanted!The list of features on this vehicle has no end therefore trying to ""trade up"" for the price becomes very hard to do! Love my climate control.Was very disappointed that dodge knocked down the 2012 model",5
 on 02/07/12 12:49 PM (PST),ramforever ,2011 Dodge Avenger Sedan Lux 4dr Sedan (2.4L 4cyl 6A),Very fun and fast car," I have just purchased a new 2011 avenger lux edition with the 3.6L V6 this car is great have only had a few days but all you have to do is sit in this car. and your sold the comfort is amazing, My car came with the all black leather interior, loaded. then when you drive this car the interior is so quiet its hard to believe. The new V6 that I have been hearing about and now driven myself. has awesome hp and torque, put together with the 6 speed auto-stick transmission. this is the perfect combination. Chrysler did an amazing job on this car. will write another review after I put some miles on the car.",4.875
 on 01/05/12 06:50 AM (PST),melindaed5172 ,2011 Dodge Avenger Sedan Mainstreet 4dr Sedan (2.4L 4cyl 6A),Bad car (LEMON)," This is the first time I have bought a new car and had issues.1. Klunking sound when shifts (Chrysler said this is normal)2. Trunk leaks when you open it and it has rained. (Factory default, nothing I can do about this)3. Stalled on me at stop light. (Nothing found wrong.)4. Can't reach to open the door when it is opened all the way (Factory issue, nothing they can do about this.5. Sounds like the powersteering is going bad , chirps like a bird sometimes. (couldn't find anything wrong)6. Sloshing sound in car when at low speeds going forward and backward( Nothing found)So you see they don't stand behind their product. Thinking about a class action suit. ",1.375
 on 11/16/11 20:18 PM (PST),johntesh71 ,2011 Dodge Avenger Sedan Mainstreet 4dr Sedan (2.4L 4cyl 6A),Love my Dodge!," Ok so Im officially 3 months into ownership, and I can't find one thing wrong with this car.....The car now has 5000 miles on it and hasn't required an oil change or any major maintenance since I got it...The car is still fast as hell with its stock 295 HP V6, beating out 0-60 times of 5.7 seconds and quarter miles of nearly 14 seconds at nearly 100mph.....But still the wonky Torque steer and the very speedy transmission get in the way of any true performance from this cars amazing engine which still gets around 31MPG highway and nearly 24 city...I have never owned a better vehicle in my life and Will never stray from my Chrysler products for as long as they exist.",5
 on 11/08/11 20:52 PM (PST),rtm82 ,2011 Dodge Avenger Sedan Lux 4dr Sedan (2.4L 4cyl 6A),I LOVE THIS CAR!," Mulled over whether or not to buy for over six months!!Could not decide what car to buy, was looking at Kias, Fords, Hyundais and Chevy's.After doing market research and driving each one about 5 times (poor salesmen), I finally decided that the Avenger was the funnest!Not to mention, the MYGIG system is awesome!I was a little unsure about my purchase after I made it, but every day after I bought it, I fall in love more and more!This car has all the power I need, and if I drive it nice, this awesome V6 still gets 25mpg in town!I am so happy I took my time to make a decision, this is a perfect car for me!",4.625
 on 10/12/11 07:06 AM (PDT),kuvasz101 ,2011 Dodge Avenger Sedan Lux 4dr Sedan (2.4L 4cyl 6A),2011 3.6 Dodge Avenger Lux," I am in my 50s and have driven all types of cars. I have owned numerous Chrysler performnace cars. I wanted something sharp looking and fun to drive. I can't stop driving this car, I love it. The handling and performance are great. The auto climate control works super. The sound system makes it a pleasure on long trips. I could honestly say this is the best car I have owned for its money.",5
 on 09/22/11 09:25 AM (PDT),johntesh71 ,2011 Dodge Avenger Sedan Mainstreet 4dr Sedan (2.4L 4cyl 6A),Dodge for Life!!," Bought the Avenger Heat with the Pentastar V6. Very powerful and sporty car, Getting just around 33MPG Highway way above the est. 29MPG and about 25 in the city....Just hate those Early shifts from the transmission, and also the unavoidable torque steer from the 300 HP engine bogging down the power steering. The entire is like a jump into a lavish sport sedan....Soft touch leather everywhere, Dodge U-connect phone is sometimes awful....The touch screen gets gummed up really easy, but the seats are stain resistant and everything is easy to see and very user friendly. Love this car and hope to keep it for many years to come.",5
 on 07/26/11 18:10 PM (PDT),budley1 ,2011 Dodge Avenger Sedan Mainstreet 4dr Sedan (2.4L 4cyl 6A),AVENGER HEAT, I had one of the first road runners in Seattle.This car is just as fun as that was.I average 24mpg and have a heavy foot.After 3 months there is little I would change.,5
 on 05/30/11 08:18 AM (PDT),georgecavalier ,2011 Dodge Avenger Sedan Mainstreet 4dr Sedan (2.4L 4cyl 6A),Better Than You Think," Bought in Heat trim with the 3.6 Pentastar V6... Edmunds wouldn't let me choose that for a trim. MSRP was close to $26K but I got it for just above $18K. Car has plenty of power, my only gripe with performance is the economy-minded transmission. It's quick to get to high gear and sometimes needs a stab of the gas to shift down. Otherwise, a fun car to drive that never feels underpowered. I get around mid-20s MPG but probably could do better if I kept my foot off the gas pedal. Smaller than a lot of midsizers nowadays but there's more room than you'd expect. Nobody feels crampt. The cabin for '11 is much nicer with plenty of high quality materials. Rides smoothly and there's little noise.",4.625
 on 05/19/11 13:37 PM (PDT),krs4 ,2011 Dodge Avenger Sedan Lux 4dr Sedan (2.4L 4cyl 6A),2011 Dogde Avenger LUX ," Black Pearl CoatLeather InteriorFully LoadedI looked at the Ford Fusion, Nissan Altima and the Honda Accord.If you want to stand out and have a car that is fun to drive. Buy the Dodge Avenger. I love this car!It looks so good compared to the above mentioned competitors. It is so fast with the 283 HP engine. Highway MPG is respectable and City is good too. The features this LUX version has are incredible. The UConnect system compares will with the Ford Sync system. It even does some things Sync cannot. The build in 30 GB HDD is so great.I have never written a review on-line before but I had to tell people to look at this car. It is my pride and joy!It is a little muscle car!",5
 on 05/16/11 15:43 PM (PDT),dodgefan7 ,2011 Dodge Avenger Sedan Mainstreet 4dr Sedan (2.4L 4cyl 6A),No better value," No other car has horse power in the ball park of this car for less than 28 grand. The V6 is awesome. Also, the interior is packed with stuff. No other car can beat the Avenger price wise.",4.875
 on 05/15/11 23:12 PM (PDT),sandyman1 ,2011 Dodge Avenger Sedan Mainstreet 4dr Sedan (2.4L 4cyl 6A),Avenger HEAT V6 ," I waited a couple of weeks to write a review on my Avenger Heat.It's so new, it's not even listed in the models.Fully loaded. This car is awesome!Pentastar V6 3.6 liter monster.Smooth, and just a beast wen you get on it.Same motor going into the Challenger and Charger.The interior is sick!Everyone loves the red seat/door inserts and red stitching. The quality of the interior is way high this year, impressive.Media center 430 is awesome.Great sound, dvd movies, thunder bass and detail.Blue tooth, voice command.Black Berry Pearl paint, 18 inch alloys, multi-link suspension front and back, 6 speed auto/manual shift.Great sound from the dual exhaust.Test drive it now!!!",5
 on 04/16/11 04:43 AM (PDT),krs4 ,2011 Dodge Avenger Sedan Lux 4dr Sedan (2.4L 4cyl 6A),A blast to drive," 3.6L Penstar V6 LUX ModelMSRP $27805Fully loadedI researched this car for weeks. Looked at the Ford Fusion, Nissan Altima and Honda Accord. I have had it less than a week and everyone who sees it says, ""wow"", nice car.""This car is a blast to drive, is stunning to behold compared to it's rivals. It has ever bell and whistle I wanted. Any of the others were less well equipped for the money.This is a sports car at heart. It will get up and go if you want it to. The interior is awesome. Comfortable, well laid out and stylish.Be different and buy this car. ",4.875
 on 01/24/11 21:03 PM (PST),malibubandit81 ,2011 Dodge Avenger Sedan Lux 4dr Sedan (2.4L 4cyl 6A),MOPAR OR NO CAR!," I wanted a 2010 AWD 3.5 Charger but couldn't find one...I considered waiting for the '11 Chargers but they aren't making an AWD model with the Pentastar V6 and I can't afford the Hemi price. Then 2 idenitically optioned '11 Avenger Lux models show up at my favorite Mopar dealership. Didn't even know Dodge was building them yet! I test drove one and quickly fell in love with the new Pentastar V6. Next thing I know, i've had the car for exactly a week now and I couldn't be any happier! Redesigned body looks great, drives like a million bucks, interior is wicked comfortable, I recommend the new V6 Avenger to EVERYONE!",5
 on 07/24/18 02:56 AM (PDT),Haley ,2008 Dodge Avenger Sedan SE 4dr Sedan (2.4L 4cyl 4A),"A good, LITTLE reliable car...BUT..."," A good, LITTLE reliable car...BUT...The one (or two-ish) negatives are so obnoxious and dangerous that I want to get rid of it. SO annoying to have to duck in and out, the door opening is lower than an average height woman. I can’t lean my head out the window because the door frame is literally right around eye level, which means majorly dangerous blind spots, but not just there...you can be at a 4 way stop and not see if a car is sitting  to the left or the right stop sign of you unless you physically lean way forward and backward. And don’t even get me started on changing lanes on the freeway; it’s just a good thing I drive like an overly cautious grandma or I would’ve killed someone or myself by now. On the good side, the car is pretty and has been VERY reliable, which is awesome; no problems whatsoever and I’ve driven her daily for 5 years.",3
 on 02/25/18 09:43 AM (PST),Dean K ,2008 Dodge Avenger Sedan R/T 4dr Sedan (3.5L 6cyl 6A),Ol'Reliable!," Hi, We bought this car new in Dallas off the showroom floor in June of 2008. It was my wife's daily driver up until 2013 when she bought a new Buick LaCrosse. From there I took the car for myself as a daily driver. At 130K miles later this car has been very reliable overall. Yes, like most cars there are some cons but you just learn to live with them. The main cons I see is the cheap hard plastic material used in this model interior. However, in 2011 when Fiat took over the interior got a much-needed upgrade with way better softer materials. The overall layout is good for daily driving where the controls are nicely laid out and user-friendly. One of the big selling points of this model in 2008 besides its new re-design was the heated/cooled lighted cup holders and the glove box cooler. There I was a bit disappointed with these features. The cup holders do not allow the mega-sized cups and the heating/cooling effects are minimal at best. The glove box cooler is a joke as it relies on the AC to cool and the airflow is very minimal. (I now use this compartment for extra storage.)  So basically these features are worthless but were a great marketing tool at the time. The 6-spd transmission shifts smoothly and is very responsive while driving but is not the case when engaging from park to Rev or Drive...very abrupt, and clunky. The ride is fairly comfortable and visibility is good except for the blind spots of the rear pillars and takes some getting used too. I think adding an aftermarket rear camera will greatly help the driver when backing up the car. The gas mileage is decent too. This car does emit higher than normal road noise inside, but the sound system takes care if that dilemma. The Boston Acoustics sound system is decent for a factory sound system. I love the styling of this car both exterior & interior design. This car is considered mid-sized which to me is a perfect size for a daily driver and my wife said its the perfect female sized car.  A lot of folks, (Including critics), are too quick to put the Avenger down in the short term and not giving it a fair chance. With any car, its a machine and parts wear out over time. Too many people think they can just put gas in cars and expect them to last forever and are quick to give negative feedback when something goes wrong. Its all about how you drive and take care of your car will determine it's long range outcome. Great maintenance & TLC goes a long way and my Avenger is proof of that! At 130K miles, it still looks and performs like new. Although it's resale value is poor, which is unfortunate, I would say this car is a good investment for the college student or as daily driver.",4
 on 08/25/17 08:48 AM (PDT),Zach ,2008 Dodge Avenger Sedan SXT 4dr Sedan (2.4L 4cyl 4A),Could be better, Love the exterior look. Interior is very confined with not much leg room. This car likes to eat things up if you happen to drop things. Floor is to high up makes for an uncomfortable sitting experience.  Acceleration is terrible and you feel like the car is literally barely handling the amount of power it takes to drive on a freeway. Fuel economy is also terrible.,3
 on 06/30/17 18:15 PM (PDT),Bmorg ,2008 Dodge Avenger Sedan SXT 4dr Sedan (2.4L 4cyl 4A),Baby charger," The 2.7 after 06 is a great engine very reliable. Hadnt don't first repair just did plug replacement at 100000 miles plugs all look good for the mileage. Only thing I've don't is replace brake pads twice on front and once on the rear and a new set of low profile tires at 41000 miles. Did replace front wheelbearing hubs at 98000 one was roaring just enough to notice took 30 minutes a side at a cost of 80.00 dollars, car is modern blue with the upgraded 18 inch wheels very sharp. I have a friend who has one with 260000 miles and no majors repairs to speak of. I would purchase a dodge again when in need of a vehicle.",5
 on 10/18/16 05:39 AM (PDT),Ralph j ,2008 Dodge Avenger Sedan R/T 4dr Sedan AWD (3.5L 6cyl 6A),R/T runs great, Take care of routine maintenance promptly.,5
 on 09/06/16 15:28 PM (PDT),mike ,2008 Dodge Avenger Sedan SXT 4dr Sedan (2.4L 4cyl 4A),I love this car!," Seems like I'm the only person that loves this car. I've got the 2008 sxt 2.7 L V6 in black, just a beautiful car and get compliments all the time, and for some odd reason every time a charger sees my car they try to speed by me or just get ahead of me?I find it pretty funny.I bought this with 80,000 miles on it and owned it for about a year and a half now and the only problem I've had mechanically was I had to replace my battery that's it! And of course changed  my oil twice, other than that it runs great and runs quiet and its pretty fast.Electrically I've had some issues I'm not gonna lie like rolling my window all the way down and it took like a hour to roll back up but just happened once.My passenger window had some issues for about a week but all of a sudden it stopped and works fine now.My car just shut off one time at a red light but started right back up and that only happened once last year, I took it to the dealer and they said the car is in good shape and they saw no problems.But this stuff was happening when I first got it but its been a year and a month without no issues it drives great.Maybe I just had to drive out the kinks?I really don't know but I haven't had any major issues at all, its far from a money pit I've had the car 19 months and only spent 150 dollars on a battery.Now these might be big issues for a lot of people who want a perfect car and just love to complain about everything but an issue with my windows for about a week is just not enough to give a bad review! My car shutting off one time on me? Ok I can see why people would complain but it happened once and never happened again I never made it a big deal the dealer said everything seemed good.The good things now.... The sound system is awesome I got six speakers all together and it sounds really good! love the mini fridge up front, Adjustable seats are great, this car also drives really good nice smooth ride with good handle, great exterior look, the interior is a little cheap but no big deal, still looks nice inside.Now the space in this car is great u have a lot of legroom and space, its very spacious.Not the most perfect car but I'm happy with it just a great car and a lot of fun to ride.You guys want a perfect car good luck on finding one because there's no such thing my friend has BMW and my other friend has a range rover sport those are expensive cars and they have had issues with their cars as well.People just love to complain, guess its just human nature.",4
 on 11/04/15 20:56 PM (PST),David Smith ,2008 Dodge Avenger Sedan SXT 4dr Sedan (2.4L 4cyl 4A),"400,000 MILES AND GOING STRONG"," I bought this car for my daughter after she got divorced in 2013. The car already had 331,000 miles on it. I knew the owner so I had  a complete history. Except for normal maintenance the only thing he had to do was a transmission solenoid because it was starting to leak.  We have spent some money on it this year: i.e; shocks,struts, tie rods, wheel bearing, brakes, tires, an oil pan and the alternator finally went. Not bad for the mileage and certainly expected. The car gets 90,000 miles out of tires, drives great in the snow and on the highway, She has put over 70,000 miles on it in two years with my granddaughter in a car seat the whole way. It is the original motor and transmission.  The 2.4 in 2008 went to a timing chain so no maintenance there. I work in a shop. I never see these for major repairs. I agree with some people that the interior is a bit cheap looking. Dodge did major improvements on their interiors in 2010. The styling is very attractive on the exterior. Like a mini  08 Charger. That being said I am a pragmatist. Dependability is more important to me. My lowest mileage car has 142,000 and we cover almost every make. It still is my favorite.  At 404,000 miles the car shows no sign of slowing down and believe me, my daughter  is not what you would call an easy driver. My youngest son totaled his car. Guess what I'm looking for now?",1
 on 08/20/15 22:48 PM (PDT),Aaron Davis ,2008 Dodge Avenger Sedan SXT 4dr Sedan (2.4L 4cyl 4A),Great for the price and looks," I have only had the car for a little over 2 months, but I really do love it considering I upgraded from a 2004 Dodge Neon SXT. But sadly enough my neon was smaller yet the avenger yields about the same gas mileage so that's a plus but odd enough my neon was faster than this lug of a car. 2.4L 4cyl engine just isn't enough to haul the weight of the car.. If I was buying this car i'd recommend getting the 2.7L or 3.5L. It doesn't have the performance I was expecting but I like the sleek performance look though and get compliments on it especially since mine has 17' Challenger rims on it. But it is a great family car I would say. Also nice that it has Sirius Radio and the cooler for 4 cans of soda which is pretty neat.",4
 on 11/26/14 11:07 AM (PST),scle0501 ,2008 Dodge Avenger Sedan SXT 4dr Sedan (2.4L 4cyl 4A),Death Trap," I was in a severe accident and hurt very badly - not a single airbag went off. No recalls on the VIN, just a terribly unsafe vehicle.",1
 on 07/28/14 23:18 PM (PDT),chrisbates ,2008 Dodge Avenger Sedan SE 4dr Sedan (2.4L 4cyl 4A),amazing. ," So I guess I'm the only person who had no problems with this car. I bought it used at the end of 2009 with 30k miles (it was a company car for its previous owners) the only thing that was wrong was the plastic that covers the spedometer had a crack, that didn't effect visibility. It was just a crack. I drove this car daily and love itI had the SE so only a 4 cylinder. But it was enough to have a quick start and handled great for me. I made plenty of 1000 mile trips and was great. I skidded on ice and smashed into the side wall twice at 80mph and walked away without a problem. This car is amazing and it saved my life. The trunk never leaked and I had no problems at all. I loved this car. ",5
 on 06/20/14 05:23 AM (PDT),jseve ,2008 Dodge Avenger Sedan SXT 4dr Sedan (2.4L 4cyl 4A),nice car," You :)Bought this car new and drive to 77000 miles.The only problem was a radio replaced under warranty due to bad hard drive.Other than that tires and brakes.I'm 6'4"" and had no trouble fitting in this car, I liked the heated stain resistant seats.My current vehicle is a 2010 avenger R/T, 3.5 L.This is a great car absolutely no problems,finally had to put brakes on the front at 90,000 miles.Both err r than tires and windshield wipers this car starts and drives like the day I took it off the lot new.",4.375
 on 09/27/12 07:57 AM (PDT),mbdude92 ,2008 Dodge Avenger Sedan SXT 4dr Sedan (2.4L 4cyl 4A),Awesome car.," I bought this car as a Certified Pre-Owned about a year ago. This has been a fantastic car, I bought it with 61k miles on it and within a year I put 22k miles on it doing mostly highway commuting to college and and work and occasional shopping trips an hour away. Haven't had to do anything mechanically to the car other than the oil and filter change every three thousand miles. I have the 2.7l V6 SXT version.. gets average about 25 city/hwy.. do more highway driving and I'll get about 28. Highly recommend for someone who wants reliability, sport look, and a cheap price. ",4.5
 on 09/23/12 14:44 PM (PDT),sonya08 ,2008 Dodge Avenger Sedan SXT 4dr Sedan (2.4L 4cyl 4A),Anyone else? , I loved my dodge when I first bought it. I have driven it a year and 8 months and have started have some sort of problem that I do not know what is going on. I can be just driving down the road and car shuts off. Sometimes it will crank back and sometimes not. It just dies while driving down the road. Is anyone else experiencing this problem? I had to have it towed one time and the mechanic said he couldn't find anything wrong. Someone please shed some light on this for me. ,3
 on 09/19/12 20:04 PM (PDT),superuser1 ,2008 Dodge Avenger Sedan R/T 4dr Sedan AWD (3.5L 6cyl 6A),Great little Dodge , I absolutely love my Avenger R/T AWD I have had no problems at all and have put around 11000 miles in about a year (now 62000 miles) This car is fun to drive and gets alot of compliments. ,4.75
 on 06/29/12 15:30 PM (PDT),lisajanern ,2008 Dodge Avenger Sedan SE 4dr Sedan (2.4L 4cyl 4A),What a disappointment," Bought the 08 Avenger used with only 20,000 miles on it-what I thought was going to be a huge improvement on my old beater. At 44,000 miles out of the blue the shifter was stuck in park (yes, I put my foot on the brake!). Apparently there was a recall for this reason and I was NEVER notified. Even though it was covered under warranty AND the recall the dealership was incredibly difficult to work with.Other than that, it runs and handles well. The interior is cheaply made and it shows. Low quality plastic all around. Seats are uncomfortable, especially for long trips and blind spots are literally big enough to fit a semi truck in. ",2.875
 on 03/15/12 14:48 PM (PDT),nfs ,2008 Dodge Avenger Sedan SXT 4dr Sedan (2.4L 4cyl 4A),Dodge This and other Dodge Bullets, This is a 2008 Dodge Avenger Red SXT. Lets start 2010 Transmission problems my miles are over warranty. 2011 Check engine light stays on. 2011 clear coat starts to bubble and peal from spoiler. 2012 paint is bubbling on the hood when Dodge was notified stated they may not cover it that a rock could cause the paint to bubble. Dodge keeps Dodging the bullet on car issues. Last Dodge and Chrysler vehicle I will be buying. Look up on the internet about Dodge vehicles paint bubbling on vehicle hoods then you decide. ,1.625
 on 03/12/12 15:02 PM (PDT),incubritt2010 ,2008 Dodge Avenger Sedan SE 4dr Sedan (2.4L 4cyl 4A),Not quite sure yet," Bought the car in Oct 2011. No significant problems so far.It shutters a bit between 35-50. No explaination for that. I got a transmission flush last week and that helped significantly. It also has a bit of trouble starting once in awhile after I put gas in it. It always starts, though. My service engine light came on last week, and they told me it was a large evap leak? My gas cap was fine, so there could be a small crack in my vapor hose. Nothing major. My mechanic suggested some new spark plugs as well. Other than that, I really have no complaints about this car so far. My trunk does not leak, btw, since I saw that was a common complaint.",4
 on 01/28/12 10:16 AM (PST),bradord28 ,2008 Dodge Avenger Sedan SXT 4dr Sedan (2.4L 4cyl 4A),iffy at first, Bought this dodge avenger in jan of 08 and pretty much bought for the lifetime warranty.Well a couple months down the road it needed brakes they wanted the rotors and pads to be replaced after 13kyeah right i replaced the pads myself and have the same rotors still.The next problem was the paint on the rear quarter panel in the lower corner behind the back door needed to be repainted after 15k.brought back to dealership they told me design flaw dodge wanted nothing to do with it.but dealer offered to split fix and make better.i thought oh boy this car is going to be a money pit.now has 130k miles and knock on wood have had little problems since.overall greatbuy lifetime warranty,4.25
 on 01/04/12 10:03 AM (PST),demikarr ,2008 Dodge Avenger Sedan SXT 4dr Sedan (2.4L 4cyl 4A),Its a matter of taste," I bought this car as a used vehicle with 38k miles on it. 10 months later I now have 75k miles. Not one issue with the maintenance (except for the brakes) or performance. Mileage is outstanding with normal 28mpg average in combined city/hwy settings.I am 6'4"" tall and have no problem with comfort. I have taken 5 on a 200 mile trip with minimal discomfort... ",4.5
 on 12/17/11 10:54 AM (PST),lory3 ,2008 Dodge Avenger Sedan SE 4dr Sedan (2.4L 4cyl 4A),Nice look to attract but a money pit once you have it," I hate this car. It has been the worst car I have ever had not because of its looks,inner or outer looks but because it is just junk. Created junk to get money out of people period. Since getting this car we have been having one electrical problem after another one this is just ridiculous. Never would I have thought Dodge could have created such a junk. I just want to get over it as it is completely unreliable since it leaves my husband everywhere and we have to be pulling it to auto shops to try and see what the heck is wrong with it over and over again. Of course so much money goes into this. Please people do not get such a car unless you want to throw your money away. Completely unreliabl",2.75
 on 11/10/11 14:06 PM (PST),neverbuydodge ,2008 Dodge Avenger Sedan SXT 4dr Sedan (2.4L 4cyl 4A),Just don't do it," Bought my car new in Sept '08.Radio has been replaced 3 times now!First time the CD player refused to open/eject.2nd time the radio mysteriously erased my collection of over 300 songs I'd downloaded, and stopped loading my pics.3rd time the radio started acting odd, then just died altogether.That was finally replaced with a ""new"" radio, on which the screen now randomly goes completely black so that you can't use the touch screen at all, and most of the buttons are on the touch screen.Tires were cracking and had to be replaced at around 30,000 miles.Transmission has a leak now.Dealership and Corporate both were a pain to deal with, very frustrating!",2.5
 on 11/02/11 14:15 PM (PDT),badavenger ,2008 Dodge Avenger Sedan R/T 4dr Sedan (3.5L 6cyl 6A),If This Helps Just One Person.....," If you're considering buying an 08 Avenger, DON'T!!My warranty expired on 10/09/11 (due to time, not mileage), 4 DAYS LATER, while getting new tires, the valve stem split apart when the valve cap was removed. Dodge won't authorize reimbursment of TPMS valve assembly. Then 15 days later I find out I need a new alternator after hearing a whining noise and battery idiot light came on while stopped. There's only 32,000 miles on the freakin' car!!! If I can help just one person save money with this review, then the time spent registering as a new user is worth it.",2.5
 on 10/17/11 09:12 AM (PDT),notimeatall ,2008 Dodge Avenger Sedan SE 4dr Sedan (2.4L 4cyl 4A),It Is What It Is," Recently bought a base model 08 Avenger with ABS for my kids to drive.They've already totaled one vehicle so I was looking for something safe and inexpensive.While I would never have bought the Avenger new, this car has worked out very well for us.Key points for us were: Safety - IIHS Top Safety pick.Check out the side impact videos on IIHS's site.Cost - We bought this vehicle for $7000 less than a comparable mileage 08 Honda Accord would have cost.I don't expect it to last like a Honda, but we only expect 6K miles per year, and the $7000 will buy a lot of nuisance repairs!I would not, however, have considered the $20K for new one - they DO depreciate FAST",3.625
 on 04/20/11 22:56 PM (PDT),virginiamother ,2008 Dodge Avenger Sedan SXT 4dr Sedan (2.4L 4cyl 4A),"If you like it, just wait and you won't!!"," May looks nice, but the car wasn't built to last. Got it almost new & noticed the blind spots after a week. If u are tall, dont' get the sunroof. My husband HATES this car,his head hits the roof. Don't scratch it, even gently, it leaves a mark on the plastic interior. 4 days after my 36K mile point, it really fall apart. Some engine light came on and the Dodge people will not even look at it without $$89 dollars, took it to someone else & already hundreds of dollars to fix it. The window literally fell into the door after the regulator broke, $$200 bucks. One light has a short. The left front brake is gone & needs resurfacing, $$ hundreds. The leather on the driver seat is crumbling off!!!!!",2
 on 02/12/11 17:16 PM (PST),sonyam2 ,2008 Dodge Avenger Sedan SXT 4dr Sedan (2.4L 4cyl 4A),Great Purchase!!," I recently purchased a 2008 Dodge Avenger SXT two weeks ago; white/gray pinstripe with tan cloth interior, heated seats. I am so glad I did not refer to the reviews I read when buying. I am having the most fun out of my car. I agree about the blind spots, but those little mirrors do the trick. I have the sporty SXT with sunroof, spoiler on the rear, and all the chrome trimmings. I love the way the car handles. I traded in my Saturn VUE and I really got a GREAT deal on my Dodge. I previously owned 2 Saturns and decided to go with a car and something sporty. Dodge did again, I love my baby charger!!!! As some have wrote on here, you have to go with your gut sometimes, and I did just that!! ",5
 on 11/29/10 00:00 AM (PST),Tony ,2008 Dodge Avenger Sedan SXT 4dr Sedan (2.4L 4cyl 4A),Great Car!," You have to go with your gut feeling because I read the report before buying my Avenger. They are helpful but sometimes you have see it in person to decide. I just had it two months and yes when you buy something use, you will have problem but the dealer fix it right away. If you like it get it because sometime your first decision is best one. If you get it be careful changing lane because you have blind spot and might hit someone. This can be corrected when you buy little round mirror at Walmart. To me it was a gamble after reading the report but I very happy with my car.",4.5
 on 11/27/10 00:00 AM (PST),Mr.Avenger ,2008 Dodge Avenger Sedan SXT 4dr Sedan (2.4L 4cyl 4A),Have to drive it," I went car shopping and decided on my Avenger. My orange burst color is new and everyone love it. The interior could be upgrade,a little to much plastic.Since being a Artist,I upgrade the inside myself by putting my own touch inside which bought it out a lot.",4.5
 on 11/16/10 00:00 AM (PST),badinvestment ,2008 Dodge Avenger Sedan SE 4dr Sedan (2.4L 4cyl 4A),Bad choice," Car style nice that's it. Car sound like lawn mower with bad gas, from the time taking off lot nothing but problems. Tire air leak often due to bad tire sensors which was recall and never repaired properly finally had to remove sensors to prevent from putting air in tire every 2 days. 2 sets of brakes, air condition went out, pulley belts, oil pan cracked, interior cheap, paint chips on front hood bubbling on hood and bumper chipping not considered part of warranty low resale owed more than value finally did voluntary repo credit score crashed but I am ok free from nightmare.",1.5
 on 11/09/10 00:00 AM (PST),Melissa ,2008 Dodge Avenger Sedan R/T 4dr Sedan (3.5L 6cyl 6A),Love It!," Granted I have only had the Dodge Avenger R/T for a week, but I love it. I have not had any problems with it and it rides awesome. Very smooth and quiet. I bought this car from the auction and it was not in selling condition, a couple hundred bucks and its a good as new. Don't base your car decisions on a couple bad reviews. My avenger already has 60k mi and it is still running like a champ!",4.375
 on 10/19/10 00:00 AM (PDT),rich ,2008 Dodge Avenger Sedan SXT 4dr Sedan (2.4L 4cyl 4A),It's a dodge," i like the looks of the car but thats about as far as it goes. with 112,000 on the 2 struts, 2 rotors, 5 sets of brakes 2 crank shaft sensors the paint bubbling across the hood and chipping in front of the rear wheels, windows make a terrible noise when going up, tranny is terrible it shutters between 1st and 2nd which they say is normal.  this only the start to a poorly designed car. not a good choice for a high mileage car.",3
 on 10/19/10 00:00 AM (PDT),jcs ,2008 Dodge Avenger Sedan SXT 4dr Sedan (2.4L 4cyl 4A),Love this car," The gas mileage is great 27 mpg town and I have got 33 mpg on the highway. I had trouble with the mygig radio system. The dealer replaced it once and Chrysler came out with updates later, this is a computer problem. The only other problem I have with it is the front passenger set is very uncomfortable. The styling is very good",4.5
 on 10/05/10 00:00 AM (PDT),R-RAIDER ,2008 Dodge Avenger Sedan SE 4dr Sedan (2.4L 4cyl 4A),Love it but has flaws," Same as everyone else's complaints: (my car only has 30k miles), my shifter stuck in park (had to get towed), rain/snow dumps in trunk if you lift the lid too fast, turn signals get stuck and sometimes when you signal to make a turn it goes into the high beam mode. If rear passengers put their feet under drivers seat you can knock the wire harness which sets off the airbag indicator (simple fix), but I'm having problems with it stalling in the rain. Other than that. I'm a big car type person but this car not only looks sharp but is fun to drive. It handles well. Sound system rocks too.",4.125
 on 09/28/10 00:00 AM (PDT),Upset ,2008 Dodge Avenger Sedan SXT 4dr Sedan (2.4L 4cyl 4A),Mistake," I bought Dodge Avenger 2008 and have not been happy with it overall. I bought it on Sep 14th, and I had airbag light come on Sep 17th, for no reason at all. Its unsafe, because when air bag light is ON it means that the air bags are OFF, and I was upset about it all weekend. On Sep 20th my mechanic found the transmission fluid leakage! after driving for few days and regularly applying breaks I discovered that all 4 brake pads and the rotors need to be replaced. The actual seating is somewhat comfortable, but it rides like crap! It feels very bumpy, like the car has worn out, or no shock absorbers. I test drove it on a smooth road, now I drive it and it feels so rough. I am disappointed.",2.5
